Bazel,#4CAF50,"[41.196289792016614, 27.423446500004502, 29.639493041991955, 26.982338166999398, 28.484161708009196, 28.535509834007826, 30.341339082980994, 27.81382941699121, 28.997216040996136, 28.66139908399782]"
Buck2,#FF9800,"[387.7615389589919, 296.28969195802347, 292.9161597919883, 302.2347587499826, 285.41853883402655, 300.6074378340272, 291.40315116700367, 302.01707662499393, 296.40877520898357, 291.9741677499842]"
Gradle,#9C27B0,"[518.4944705000089, 169.4999264999933, 123.19468325001071, 115.04116074999911, 111.37626287498279, 107.07992887499859, 110.41397766699083, 144.44338108299416, 149.95290670800023, 145.68812762497691]"
