Bazel,#4CAF50,"[56.35738700005459, 55.74304620898329, 55.82234062498901, 46.24321129202144, 45.16813283297233, 46.833048500004224, 44.992312749964185, 44.96602041600272, 52.965742417029105, 53.86536829202669]"
Buck2,#FF9800,"[436.7547277919948, 436.9334406660055, 471.6339647080167, 415.6569288749597, 473.73929783399217, 495.8728183329804, 481.67605516599724, 855.2610737080104, 445.2073119590059, 431.90261570800794]"
Gradle,#9C27B0,"[275.40073074999964, 285.7467969999998, 216.48844512499636, 138.37549995898735, 134.56800066703, 139.90820250002434, 138.44516266597202, 136.59571404202143, 148.65216812503058, 149.42039520805702]"
